time,blood
6,1512.51
24,10120.4
72,13399
96,14183.1
216,11380
432,9684.37
576,8223.51
720,6983.01
864,5929.64
1032,5039.15
1224,4052.81
1392,3443.5
1560,2926.36
1728,2486.89
