time,Plasma
24,12255.2
72,10927.9
96,10315
216,9177.46
432,6867.12
576,6107.14
720,5247.3
864,4558.88
1032,3826.34
1224,3032.34
1392,2545.82
1560,2136.74
1728,1793.4
