time,Plasma
0.05,319.782
0.5,665.307355
1,1619.751844
5,3837.849183
7,5614.26828
12,7330.447868
20,5636.922093
24,4399.026633
72,3287.4678
168,2970.001668
336,2490.643409
504,2202.981113
672,1824.495292
840,1752.72601
960,1473.175244
1008,1291.075031
1176,1021.752807
