time,Plasma
0.25,11845.75
0.5,7937
1,9291
2,6985
4,7362.5
8,7027
12,7391.5
16,8492
24,5805.5
36,4187
48,4045.5
72,3970
96,2966
120,2701.5
144,1743.75
168,1717.25
192,1697.5
240,1830
288,1419.75
336,1309
384,1200.25
432,943.25
480,840.25
528,591.25
